Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
1099608105,1B00000E,true,Rx,1,8,0E,00,44,07,01,00,0E,00,
1099608378,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099608389,00000551,false,Rx,1,8,E1,22,E4,DA,00,00,00,00,
1099633853,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099633864,000003C0,false,Rx,1,4,4B,05,03,00,00,00,00,00,
1099634117,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099634128,0000030C,false,Rx,1,8,B9,FA,3F,00,A0,30,00,40,
1099634405,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099634416,000003DB,false,Rx,1,8,50,10,00,00,07,00,01,A7,
1099634693,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099634704,00000658,false,Rx,1,8,62,0D,04,00,00,00,00,00,
1099634981,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099634992,00000107,false,Rx,1,8,1A,00,FE,EB,01,3A,D0,79,
1099635269,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099635281,0000012B,false,Rx,1,8,F0,14,80,10,00,00,00,00,
1099635557,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099635568,0000032A,false,Rx,1,8,81,0C,00,00,00,02,00,00,
1099635845,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099635856,00000324,false,Rx,1,8,06,0A,00,00,00,00,00,00,
1099660945,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099660955,17330510,true,Rx,1,4,31,53,04,00,00,00,00,00,
1099661189,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099661199,000003DA,false,Rx,1,8,22,00,00,C6,15,2C,04,00,
1099661477,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099661488,000005F0,false,Rx,1,8,FD,00,64,00,00,7E,00,00,
1099661766,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099661777,000003D1,false,Rx,1,8,02,00,00,00,00,00,00,00,
1099662058,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099662069,000003D0,false,Rx,1,8,02,00,00,00,00,00,00,00,
1099662341,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099662362,000003D6,false,Rx,1,8,05,00,00,00,00,00,20,00,
1099662632,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
